Song,Singer,singer gender,genre,Location in Top 100,Location In Playlist,Total Number of Lines,Man not talking Women,Man talking Women,Women not talking Man,Women talking man,Romantic G Neutral,Sexual G neutral,Count Check
GPS,Maluma,Male,Trap Land,NA,27,72,17,55,0,0,0,0,0
Diabla,Farruko,Male,Trap Land,NA,28,63,4,59,0,0,0,0,0
Viajo sin ver,Jon Z,Male,Trap Land,NA,29,90,89,1,0,0,0,0,0
Stripper,Andy Rivera,Male,Trap Land,NA,30,72,21,51,0,0,0,0,0
I feel it still,Portugal. The Man.,Male,Rock This,NA,1,46,40,2,0,0,3,1,0
Lights Out,Royal Blood,Male,Rock This,NA,2,34,23,0,0,0,11,0,0
The Sky Is A Neighborhood,Foo Fighters,Male,Rock This,NA,3,72,66,0,0,0,6,0,0
The Way You Used To Do,Queens of The Stone Age,Male,Rock This,NA,4,39,22,2,0,0,15,0,0
Rx,A Theory of A Deadman,Male,Rock This,NA,5,75,72,2,0,0,1,0,0
Highway Tune,Greta Van Fleet,Male,Rock This,NA,6,37,14,8,0,0,15,0,0
Young Lady You're Scaring Me,Ron Gallo,Male,Rock This,NA,7,23,6,15,0,0,2,0,0
Jungle,Tash Sultana,Female,Rock This,NA,8,45,0,0,38,0,7,0,0
Legendary,Welshly Arms,Male,Rock This,NA,9,52,52,0,0,0,0,0,0
Little One,Highly Suspect,Male,Rock This,NA,10,32,31,0,0,0,1,0,0
Go To War,Nothing More,Male,Rock This,NA,11,67,67,0,0,0,0,0,0
Freeze Me,Death From Above 1979,Male,Rock This,NA,12,20,20,0,0,0,0,0,0
Come Together,Gary Clark Jr.,Male,Rock This,NA,13,20,20,0,0,0,0,0,0
No Good,Kaleo,Male,Rock This,NA,14,54,41,0,0,0,13,0,0
Love Is Mystical ,Cold War Kids,Male,Rock This,NA,15,55,46,0,0,0,9,0,0
The Man,The Killers,Male,Rock This,NA,16,60,54,6,0,0,0,0,0
Walk On Water,Thirty Seconds to Mars,Male,Rock This,NA,17,55,55,0,0,0,0,0,0
Believer,Imagine Dragons,Male,Rock This,20,18,52,52,0,0,0,0,0,0
Cold Cold Cold,Cage The Elephant,Male,Rock This,NA,19,34,34,0,0,0,0,0,0
Sorry,Nothing But Thieves,Male,Rock This,NA,20,44,34,0,0,0,9,1,0
It's A Trip,Joywave,Male,Rock This,NA,21,41,41,0,0,0,0,0,0
Cocoon,Milky Chance,Male,Rock This,NA,22,59,34,0,0,0,25,0,0
Reverend,Kings Of Leon,Male,Rock This,NA,23,31,17,0,0,0,14,0,0
One More Light,Linkin Park,Male,Rock This,NA,24,36,35,0,0,0,1,0,0
Sweet Desaster,Dreamers,Male,Rock This,NA,25,38,38,0,0,0,0,0,0
Roman Sky,Avenged Sevenfold,Male,Rock This,NA,26,15,15,0,0,0,0,0,0
Vacation,The Dirty Heads,Male,Rock This,NA,27,61,61,0,0,0,0,0,0
We Fight,Dashboard Confessional,Male,Rock This,NA,28,62,62,0,0,0,0,0,0
Get Right,Jimmy Eat World,Male,Rock This,NA,29,24,24,0,0,0,0,0,0
American Soul,U2,Male,Rock This,NA,30,61,61,0,0,0,0,0,0
DNA,BTS,Male,K-Pop,NA,1,62,27,0,0,0,35,0,0
Bang Bang Bang,BigBang,Male,K-Pop,NA,2,73,60,6,0,0,2,5,0
As If It's Your Last,BlackPink,Female,K-Pop,NA,3,61,0,0,23,0,37,1,0
Stay With Me,Chanyeol,Male,K-Pop,NA,4,50,12,0,0,0,38,0,0
Ko Ko Bop,Exo,Male,K-Pop,NA,5,55,49,0,0,0,5,1,0
Blood Sweat Tears,BTS,Male,K-Pop,NA,6,60,45,0,0,0,14,1,0
Boombayah,BlackPink,Female,K-Pop,NA,7,71,0,0,67,2,0,2,0
FXXK It,BigBang,Male,K-Pop,NA,8,109,83,16,0,0,9,1,0
Monster,Exo,Male,K-Pop,NA,9,72,43,4,0,0,15,10,0
Beautiful,Crush,Male,K-Pop,NA,10,42,39,0,0,0,3,0,0
Spring Day,BTS,Male,K-Pop,NA,11,84,70,0,0,0,14,0,0
Playing With Fire,BlackPink,Female,K-Pop,NA,12,51,0,0,31,12,8,0,0
Really Really,Winner,Male,K-Pop,NA,13,76,56,3,0,0,16,1,0
Don't Recall,Kard,Both,K-Pop,NA,14,64,11,10,34,5,4,0,0
Don't Want To Cry,Seventeen,Male,K-Pop,NA,15,41,36,1,0,0,4,0,0
Not Today,BTS,Male,K-Pop,NA,16,21,21,0,0,0,0,0,0
Whistle,BlackPink,Female,K-Pop,NA,17,72,0,0,64,3,2,3,0
Oh NaNa,Kard,Both,K-Pop,NA,18,69,3,11,26,4,25,0,0
Call Me Baby,Exo,Male,K-Pop,NA,19,88,59,13,0,0,16,0,0
Gashina-Sunm,Sunmi,Female,K-Pop,NA,20,54,0,0,54,0,0,0,0
Russian Roulette,Red Velvet,Female,K-Pop,NA,21,70,0,0,70,0,0,0,0
Go Go,BTS,Male,K-Pop,NA,22,82,82,0,0,0,0,0,0
The Eve,Exo,Male,K-Pop,NA,23,53,53,0,0,0,0,0,0
Stay,BlackPink,Female,K-Pop,NA,24,57,0,0,48,0,9,0,0
Dope,BTS,Male,K-Pop,NA,25,82,80,2,0,0,0,0,0
Lotto,Exo,Male,K-Pop,NA,26,62,55,6,0,0,1,0,0
Red Flavor,Red Velvet,Female,K-Pop,NA,27,47,0,0,44,0,3,0,0
Very Very,I.O.I.,Female,K-Pop,NA,28,75,0,0,72,3,0,0,0
Palette,IU,Female,K-Pop,NA,29,56,0,0,56,0,0,0,0
Very Nice,Seventeen,Male,K-Pop,NA,30,70,70,0,0,0,0,0,0
"If You Need To, Keep Time on Me",Fleet Foxes,Male,Fresh Folk,NA,1,18,18,0,0,0,0,0,0
Chateau,Angus & Julia Stone,Both,Fresh Folk,NA,2,52,0,32,3,17,0,0,0
Minimum,Charlie Cunningham,Male,Fresh Folk,NA,3,36,36,0,0,0,0,0,0
A Closeness,Dermot Kennedy,Male,Fresh Folk,NA,4,44,27,11,0,0,6,0,0
Carry You ,Novo Amor,Male,Fresh Folk,NA,5,23,23,0,0,0,0,0,0
Colder Heavens,Blanco White,Male ,Fresh Folk,NA,6,39,39,0,0,0,0,0,0
The Meetings of the Waters,Fionn Regan,Male,Fresh Folk,NA,7,40,40,0,0,0,0,0,0
Six Years,A Blaze of Feather,Male,Fresh Folk,NA,8,39,35,0,0,0,4,0,0
You Would Have to Lose Your Mind,The Barr Brothers,Male,Fresh Folk,NA,9,34,28,0,0,0,6,0,0
Silver Lining ,Mnt. Joy,Male,Fresh Folk,NA,10,39,37,1,0,0,1,0,0
Lay It On Me,Vance Joy,Male,Fresh Folk,NA,11,33,25,0,0,0,8,0,0
Never Break,Langhorne Slim,Male,Fresh Folk,NA,12,23,21,0,0,0,2,0,0
Horizon,Aldous Harding,Female,Fresh Folk,NA,13,42,0,0,33,0,9,0,0
Bruises,Lewis Capaldi,Male,Fresh Folk,NA,14,41,33,1,0,0,7,0,0
Call it Dreaming,Iron and Wine,Male,Fresh Folk,NA,15,31,31,0,0,0,0,0,0
Little Lies ,I'm with Her,Female,Fresh Folk,NA,16,41,0,0,38,1,1,1,0
Only Lonely,The Ballroom Thieves,Both,Fresh Folk,NA,17,52,15,3,34,0,0,0,0
Subterranean Homesick Bluse,Andrew Bird,Male,Fresh Folk,NA,18,71,67,4,0,0,0,0,0
It's A Shame,First Aid Kit,Female,Fresh Folk,NA,19,40,0,0,40,0,0,0,0
Coming Down the Mountain,Mipso,Female,Fresh Folk,NA,20,30,0,0,29,0,1,0,0
At the Purchaser's Option,Rhiannon Gibbons,Female,Fresh Folk,NA,21,44,0,0,40,3,1,0,0
My Arms Were Always Around You,Peter Bradley Adams,Male,Fresh Folk,NA,22,40,27,0,0,0,13,0,0
Ballad of the Dying Man,Father John Misty,Male,Fresh Folk,NA,23,27,27,0,0,0,0,0,0
Thirty,The Weather Station,Female,Fresh Folk,NA,24,66,0,0,62,1,3,0,0
Standing In The Doorway,Hiss Golden Messenger,Male,Fresh Folk,NA,25,36,23,0,0,0,13,0,0
Motion Sickness,Phoebe Bridgers,Female,Fresh Folk,NA,26,35,0,0,34,0,0,1,0
Nobody's Fool,Shakey Graves,Male,Fresh Folk,NA,27,27,27,0,0,0,0,0,0
Blind in the Fray,The Last Revel,Male,Fresh Folk,NA,28,31,16,15,0,0,0,0,0
If We Were Vampires,Jason Isbell,Male,Fresh Folk,NA,29,28,6,22,0,0,0,0,0
Mind On Fire,Aisha Badru,Female,Fresh Folk,NA,30,22,0,0,22,0,0,0,0
Old Church Choir,Zack Williams,Male,Christian Hits,NA,20,38,38,0,0,0,0,0,0
Word of Life,Jeremy Camp,Male,Christian Hits,NA,21,52,52,0,0,0,0,0,0
Gracefully Broken,Matt Redman,Male,Christian Hits,NA,22,107,43,16,35,13,0,0,0
King of the World,Natalie Grant,Female,Christian Hits,NA,23,28,0,0,4,24,0,0,0
The Gospel,Ryan Stevenson,Male,Christian Hits,NA,24,64,64,0,0,0,0,0,0
Bulletproof,Citizen Way,Male,Christian Hits,NA,25,59,59,0,0,0,0,0,0
Take Courage,Kristene Dimarco,Female,Christian Hits,NA,26,35,0,0,15,20,0,0,0
Point to You,We Are Messengers,Male,Christian Hits,NA,27,59,59,0,0,0,0,0,0
The Comeback,Danny Gokey,Male,Christian Hits,NA,28,37,37,0,0,0,0,0,0
In the Name of Love,Kari Jobe,Female,Christian Hits,NA,29,37,0,0,33,2,2,0,0
Control,Tenth Avenue North,Male,Christian Hits,NA,30,67,67,0,0,0,0,0,0
Hills and valleys,Tauren Wells,Male,Christian Hits,NA,1,67,65,0,0,0,2,0,0
What a Beautiful Name,Hillsong Kiev,Female,Christian Hits,NA,2,57,0,0,10,47,0,0,0
Even If,MercyMe,Male,Christian Hits,NA,3,47,47,0,0,0,0,0,0
O Come to the Altar ,Elevation Worship,Male,Christian Hits,NA,4,46,46,0,0,0,0,0,0
Wonder,Hillsong United,Female,Christian Hits,NA,5,40,0,0,29,10,1,0,0
Chain Breaker,Zack Williams,Male,Christian Hits,NA,6,50,0,0,36,14,0,0,0
Home,Chris Tomlin,Female,Christian Hits,NA,7,56,0,0,51,5,0,0,0
I'll Find You ,Lecrae,Both,Christian Hits,NA,8,85,49,0,36,0,0,0,0
Broken Things,Matthew West,Male,Christian Hits,NA,9,23,23,0,0,0,0,0,0
Peace Be Still,The Belonging Co,Female,Christian Hits,NA,10,107,0,0,92,15,0,0,0
Death Was Arrested,North Point InsideOut,Male,Christian Hits,NA,11,56,56,0,0,0,0,0,0
I Have This Hope,Tenth Avenue North,Male,Christian Hits,NA,12,40,40,0,0,0,0,0,0
So Will I,100 Billion X,Male,Christian Hits,NA,13,57,57,0,0,0,0,0,0
Throne Room,Kim Walker-Smith,Female,Christian Hits,NA,14,48,0,0,30,18,0,0,0
O God Forgive Us,for King and Country,Male,Christian Hits,NA,15,36,36,0,0,0,0,0,0
The Cause of Christ,Kari Jobe,Female,Christian Hits,NA,16,39,0,0,23,16,0,0,0
Reckless Love,Cory Asbury,Male,Christian Hits,NA,17,44,44,0,0,0,0,0,0
Oh My Soul,Casting Crowns,Male,Christian Hits,NA,18,40,38,0,2,0,0,0,0
Thy Will,Hillary Scott,Female,Christian Hits,NA,19,47,0,0,25,22,0,0,0
Body like a back road,sam hunt,Male,Hot Country,98,1,17,10,7,0,0,0,0,0
meant to be,bebe rexha,Female,Hot Country,NA,2,45,23,12,2,3,5,0,0
what ifs,kane brown,Male,Hot Country,NA,3,43,26,1,0,0,16,0,0
unforgettable,thomas rhett,Male,Hot Country,NA,4,49,40,5,0,0,3,1,0
craving you,thomas rhett,Male,Hot Country,NA,5,52,32,4,0,0,0,16,0
all on me,devin dawson,Male,Hot Country,NA,6,55,38,4,0,0,12,1,0
close,ryan kinder,Male,Hot Country,NA,7,42,36,0,0,0,5,1,0
hurricane,luke combs,Male,Hot Country,NA,8,50,50,0,0,0,0,0,0
blue tacoma,russell dickerson,Male,Hot Country,NA,9,66,64,0,0,0,2,0,0
in case you didnt know,brett young,Male,Hot Country,NA,10,44,39,0,0,0,5,0,0
man enough now,chris bandi,Male,Hot Country,NA,11,42,40,2,0,0,0,0,0
small town boy,dustin lynch,Male,Hot Country,NA,12,57,11,46,0,0,0,0,0
i could use a love song,maren morris,Female,Hot Country,NA,13,44,0,0,44,0,0,0,0
getting over you,jackie lee,Male,Hot Country,NA,14,24,22,2,0,0,0,0,0
more girls like you,kip moore,Male,Hot Country,NA,15,38,18,11,0,0,9,0,0
may we all,florida georgia line,Male,Hot Country,NA,16,20,18,2,0,0,0,0,0
losing sleep,chris young,Male,Hot Country,NA,17,41,29,0,0,0,1,11,0
you broke up with me,walker hayes,Male,Hot Country,NA,18,46,33,13,0,0,0,0,0
sunday morning,parMalee,Male,Hot Country,NA,19,40,20,0,0,0,17,3,0
star of the show,thomas rhett,Male,Hot Country,NA,20,37,24,11,0,0,2,0,0
heartache on the dance floor,jon pardi,Male,Hot Country,NA,21,39,23,16,0,0,0,0,0
singles you up,jordan davis,Male,Hot Country,NA,22,37,30,3,0,0,4,0,0
no such thing as a broken heart,old dominion,Male,Hot Country,NA,23,31,25,0,0,0,6,0,0
written in the sand,old dominion,Male,Hot Country,NA,24,21,14,0,0,0,0,7,0
sleep without you,brett young,Male,Hot Country,NA,25,45,42,3,0,0,0,0,0
when it rains it pours,luke combs,Male,Hot Country,NA,26,36,21,15,0,0,0,0,0
happens like that,granger smith,Male,Hot Country,NA,27,42,29,7,0,0,0,6,0
hooked,dylan scott,Male,Hot Country,NA,28,61,51,0,0,0,0,10,0
hometown girl,josh turner,Male,Hot Country,NA,29,29,7,22,0,0,0,0,0
kiss somebody,morgan evans,Male,Hot Country,NA,30,57,33,0,0,0,0,24,0
different now,chastity belt,Female,Ultimate Indie,NA,1,15,0,0,15,0,0,0,0
virtue,kllo,Female,Ultimate Indie,NA,2,45,0,0,32,0,13,0,0
now and then,sjowgren,Female,Ultimate Indie,NA,3,21,0,0,19,0,2,0,0
fallss,bayonne,Male,Ultimate Indie,NA,4,16,15,1,0,0,0,0,0
gold angel,minke,Male,Ultimate Indie,NA,5,24,12,3,0,0,9,0,0
anemone,slenderbodies,Male,Ultimate Indie,NA,6,33,33,0,0,0,0,0,0
dreams tonite,alvvays,Female,Ultimate Indie,NA,7,16,0,0,14,0,2,0,0
down the line,beach fossils,Male,Ultimate Indie,NA,8,22,16,0,0,0,4,2,0
goodpain,yoke lore,Male,Ultimate Indie,NA,9,15,15,0,0,0,0,0,0
star roving,slowdive,Male,Ultimate Indie,NA,10,32,21,11,0,0,0,0,0
this time,land of talk,Female,Ultimate Indie,NA,11,22,0,0,20,1,1,0,0
olly,cape francis,Male,Ultimate Indie,NA,12,21,21,0,0,0,0,0,0
begin,shallou,Male,Ultimate Indie,NA,13,25,25,0,0,0,0,0,0
my god has a telephone,the flying stars of brooklyn ny,Female,Ultimate Indie,NA,14,26,0,0,26,0,0,0,0
depths pt 1,yumi zouma,Female,Ultimate Indie,NA,15,20,0,0,19,0,1,0,0
live well,palace,Male,Ultimate Indie,NA,16,44,31,4,0,0,9,0,0
chateau,angus & julia stone,Both,Ultimate Indie,NA,17,42,11,0,6,0,25,0,0
appointments,julien baker,Female,Ultimate Indie,NA,18,31,0,0,31,0,0,0,0
going home,twist,Female,Ultimate Indie,NA,19,25,0,0,16,1,8,0,0
ancient water,future islands,Male,Ultimate Indie,NA,20,32,20,0,0,0,12,0,0
here if you want,MOSSS,Male,Ultimate Indie,NA,21,18,9,2,0,0,5,2,0
come home,the undercover dream lovers,Male,Ultimate Indie,NA,22,31,29,1,0,0,1,0,0
tell me,bros,Male,Ultimate Indie,NA,23,37,10,2,0,0,23,2,0
darling,real estate,Male,Ultimate Indie,NA,24,17,13,0,0,0,4,0,0
nervous,magic bronson,Male,Ultimate Indie,NA,25,30,30,0,0,0,0,0,0
bike dream,rostam,Male,Ultimate Indie,NA,26,50,26,24,0,0,0,0,0
sheep,mt. dream,Male,Ultimate Indie,NA,27,30,28,2,0,0,0,0,0
die young,sylvan esso,Female,Ultimate Indie,NA,28,45,0,0,31,14,0,0,0
the night we met,lord huron,Male,Ultimate Indie,NA,29,24,19,0,0,0,5,0,0
yam yam,no vacation,Female,Ultimate Indie,NA,30,20,0,0,18,0,2,0,0
