"","Song","Singer","singer gender","genre","Location in Top 100","Location In Playlist","Total Number of Lines","Count Check","prop_type","prop_values"
"199","sunday morning","parMalee","Male","Hot Country",NA,19,40,0,"Men talk Woman",0
"200","star of the show","thomas rhett","Male","Hot Country",NA,20,37,0,"Men talk Woman",0.297297297297297
"201","heartache on the dance floor","jon pardi","Male","Hot Country",NA,21,39,0,"Men talk Woman",0.41025641025641
"202","singles you up","jordan davis","Male","Hot Country",NA,22,37,0,"Men talk Woman",0.0810810810810811
"203","no such thing as a broken heart","old dominion","Male","Hot Country",NA,23,31,0,"Men talk Woman",0
"204","written in the sand","old dominion","Male","Hot Country",NA,24,21,0,"Men talk Woman",0
"205","sleep without you","brett young","Male","Hot Country",NA,25,45,0,"Men talk Woman",0.0666666666666667
"206","when it rains it pours","luke combs","Male","Hot Country",NA,26,36,0,"Men talk Woman",0.416666666666667
"207","happens like that","granger smith","Male","Hot Country",NA,27,42,0,"Men talk Woman",0.166666666666667
"208","hooked","dylan scott","Male","Hot Country",NA,28,61,0,"Men talk Woman",0
"209","hometown girl","josh turner","Male","Hot Country",NA,29,29,0,"Men talk Woman",0.758620689655172
"210","kiss somebody","morgan evans","Male","Hot Country",NA,30,57,0,"Men talk Woman",0
"211","different now","chastity belt","Female","Ultimate Indie",NA,1,15,0,"Men talk Woman",0
"212","virtue","kllo","Female","Ultimate Indie",NA,2,45,0,"Men talk Woman",0
"213","now and then","sjowgren","Female","Ultimate Indie",NA,3,21,0,"Men talk Woman",0
"214","fallss","bayonne","Male","Ultimate Indie",NA,4,16,0,"Men talk Woman",0.0625
"215","gold angel","minke","Male","Ultimate Indie",NA,5,24,0,"Men talk Woman",0.125
"216","anemone","slenderbodies","Male","Ultimate Indie",NA,6,33,0,"Men talk Woman",0
"217","dreams tonite","alvvays","Female","Ultimate Indie",NA,7,16,0,"Men talk Woman",0
"218","down the line","beach fossils","Male","Ultimate Indie",NA,8,22,0,"Men talk Woman",0
"219","goodpain","yoke lore","Male","Ultimate Indie",NA,9,15,0,"Men talk Woman",0
"220","star roving","slowdive","Male","Ultimate Indie",NA,10,32,0,"Men talk Woman",0.34375
"221","this time","land of talk","Female","Ultimate Indie",NA,11,22,0,"Men talk Woman",0
"222","olly","cape francis","Male","Ultimate Indie",NA,12,21,0,"Men talk Woman",0
"223","begin","shallou","Male","Ultimate Indie",NA,13,25,0,"Men talk Woman",0
"224","my god has a telephone","the flying stars of brooklyn ny","Female","Ultimate Indie",NA,14,26,0,"Men talk Woman",0
"225","depths pt 1","yumi zouma","Female","Ultimate Indie",NA,15,20,0,"Men talk Woman",0
"226","live well","palace","Male","Ultimate Indie",NA,16,44,0,"Men talk Woman",0.0909090909090909
"227","chateau","angus & julia stone","Both","Ultimate Indie",NA,17,42,0,"Men talk Woman",0
"228","appointments","julien baker","Female","Ultimate Indie",NA,18,31,0,"Men talk Woman",0
"229","going home","twist","Female","Ultimate Indie",NA,19,25,0,"Men talk Woman",0
"230","ancient water","future islands","Male","Ultimate Indie",NA,20,32,0,"Men talk Woman",0
"231","here if you want","MOSSS","Male","Ultimate Indie",NA,21,18,0,"Men talk Woman",0.111111111111111
"232","come home","the undercover dream lovers","Male","Ultimate Indie",NA,22,31,0,"Men talk Woman",0.032258064516129
"233","tell me","bros","Male","Ultimate Indie",NA,23,37,0,"Men talk Woman",0.0540540540540541
"234","darling","real estate","Male","Ultimate Indie",NA,24,17,0,"Men talk Woman",0
"235","nervous","magic bronson","Male","Ultimate Indie",NA,25,30,0,"Men talk Woman",0
